Time [s],Packet ID,MOSI,MISO
0.676359060000000,,0xFF,0x00
0.676362060000000,,0xFF,0x00
0.676365060000000,,0xFF,0x00
0.676368060000000,,0xFF,0x00
0.676371060000000,,0xFF,0x00
0.676374060000000,,0xFF,0x00
0.676377060000000,,0xFF,0x00
0.676380060000000,,0xFF,0x00
0.676383060000000,,0xFF,0x00
0.676386060000000,,0xFF,0x00
0.676389060000000,,0xFF,0x45
0.676392060000000,,0xFF,0x6E
0.676395060000000,,0xFF,0x64	Последний байт сектора 0х00000002
0.676398060000000,,0xFF,0x11	CRC16
0.676400780000000,,0xFF,0xD8	CRC16
0.676403080000000,,0xFF,0xFF
0.676415080000000,,0xFF,0xFF
0.676420640000000,,0xFF,0xFE
0.676426220000000,,0xFF,0x44	Первый байт сектора 0х00000003
0.676436640000000,,0xFF,0x69
0.676439640000000,,0xFF,0x6D
0.676442640000000,,0xFF,0x6B
0.676445640000000,,0xFF,0x61
0.676448640000000,,0xFF,0x4D
0.676451640000000,,0xFF,0x20
0.676454640000000,,0xFF,0x53
0.676457640000000,,0xFF,0x44
0.676460640000000,,0xFF,0x2D
0.676463640000000,,0xFF,0x54
0.676466640000000,,0xFF,0x65
0.676469640000000,,0xFF,0x73
0.676472640000000,,0xFF,0x74
0.676475640000000,,0xFF,0x00
0.676478640000000,,0xFF,0x00
0.676481640000000,,0xFF,0x53
0.676484640000000,,0xFF,0x65
0.676487640000000,,0xFF,0x63
0.676490640000000,,0xFF,0x74
0.676493640000000,,0xFF,0x6F
0.676496640000000,,0xFF,0x72
0.676499640000000,,0xFF,0x30
0.676502640000000,,0xFF,0x78
0.676505640000000,,0xFF,0x30
0.676508640000000,,0xFF,0x30
0.676511640000000,,0xFF,0x30
0.676514640000000,,0xFF,0x30
0.676517640000000,,0xFF,0x30
0.676520640000000,,0xFF,0x30
0.676523640000000,,0xFF,0x30
0.676526640000000,,0xFF,0x33
0.676529640000000,,0xFF,0x00
0.676532640000000,,0xFF,0x00
0.676535640000000,,0xFF,0x00
0.676538640000000,,0xFF,0x00
0.676541640000000,,0xFF,0x00
0.676544640000000,,0xFF,0x00
0.676547640000000,,0xFF,0x00
0.676550640000000,,0xFF,0x00
0.676553640000000,,0xFF,0x00
0.676556640000000,,0xFF,0x00
0.676559640000000,,0xFF,0x00
0.676562640000000,,0xFF,0x00
0.676565640000000,,0xFF,0x00
0.676568640000000,,0xFF,0x00
0.676571640000000,,0xFF,0x00
0.676574640000000,,0xFF,0x00
0.676577640000000,,0xFF,0x00
0.676580640000000,,0xFF,0x00
0.676583640000000,,0xFF,0x00
0.676586640000000,,0xFF,0x00
0.676589640000000,,0xFF,0x00
0.676592660000000,,0xFF,0x00
0.676595660000000,,0xFF,0x00
0.676598660000000,,0xFF,0x00
0.676601660000000,,0xFF,0x00
0.676604660000000,,0xFF,0x00
0.676607660000000,,0xFF,0x00
0.676610660000000,,0xFF,0x00
0.676613660000000,,0xFF,0x00
0.676616660000000,,0xFF,0x00
0.676619660000000,,0xFF,0x00
0.676622660000000,,0xFF,0x00
0.676625660000000,,0xFF,0x00
0.676628660000000,,0xFF,0x00
0.676631660000000,,0xFF,0x00
0.676634660000000,,0xFF,0x00
0.676637660000000,,0xFF,0x00
0.676640660000000,,0xFF,0x00
0.676643660000000,,0xFF,0x00
0.676646660000000,,0xFF,0x00
0.676649660000000,,0xFF,0x00
0.676652660000000,,0xFF,0x00
0.676655660000000,,0xFF,0x00
0.676658660000000,,0xFF,0x00
0.676661660000000,,0xFF,0x00
0.676664660000000,,0xFF,0x00
0.676667660000000,,0xFF,0x00
0.676670660000000,,0xFF,0x00
0.676673660000000,,0xFF,0x00
0.676676660000000,,0xFF,0x00
0.676679660000000,,0xFF,0x00
0.676682660000000,,0xFF,0x00
0.676685660000000,,0xFF,0x00
0.676688660000000,,0xFF,0x00
